"Word","Changed","score_test"
"dalmatian","aaadilmnt",144
"Andalusian","aaadilnnsu",144
"Salvadorians","aaadilnorssv",225
"Salvadorian","aaadilnorsv",196
"Andalusia","aaadilnsu",121
"adaptations","aaadinopstt",169
"adaptation","aaadinoptt",144
"Adriana","aaadinr",64
"Djakarta","aaadjkrt",169
"Samarkand","aaadkmnrs",169
"Kannada","aaadknn",100
"aardvarks","aaadkrrsv",169
"aardvark","aaadkrrv",144
"adamantly","aaadlmnty",169
"Mandalay","aaadlmny",144
"Salvadorans","aaadlnorssv",196
"Salvadoran","aaadlnorsv",169
"Lawanda","aaadlnw",100
"Alvarado","aaadlorv",121
"Amanda","aaadmn",64
"Andaman","aaadmnn",81
"Narmada","aaadmnr",81
"Ramadan","aaadmnr",81
"Ramadans","aaadmnrs",100
"adamant","aaadmnt",81
"Ramada","aaadmr",64
"armada","aaadmr",64
"armadas","aaadmrs",81
"Masada","aaadms",64
"Adana","aaadn",36
"Shakespearean","aaaeeehknprss",324
"septuagenarians","aaaeeginnprsstu",289
"septuagenarian","aaaeeginnprstu",256
"sexagenarians","aaaeeginnrssx",256
"sexagenarian","aaaeeginnrsx",225
"Kamehameha","aaaeehhkmm",289
"anaesthesia","aaaeehinsst",169
"Tallahassee","aaaeehllsst",225
"maharanee","aaaeehmnr",144
"maharanees","aaaeehmnrs",169
"paraprofessional","aaaefilnoopprrss",441
"sassafrases","aaaefrsssss",169
"aggravates","aaaeggrstv",144
"aggravate","aaaeggrtv",121
"Rasalhague","aaaeghlrsu",169
"egalitarianism","aaaegiiilmnrst",289
"egalitarians","aaaegiilnrst",196
"egalitarian","aaaegiilnrt",169
"megalomania","aaaegilmmno",225
"managerial","aaaegilmnr",169
"analgesia","aaaegilns",121
"paraplegia","aaaegilppr",196
"nonagenarian","aaaeginnnnor",169
"nonagenarians","aaaeginnnnors",196
"parallelogram","aaaeglllmoprr",361
"parallelograms","aaaeglllmoprrs",400
"paralegal","aaaegllpr",169
"paralegals","aaaegllprs",196
"Guatemalans","aaaeglmnstu",196
"Guatemalan","aaaeglmntu",169
"Guatemala","aaaeglmtu",144
"extravagantly","aaaeglnrttvxy",361
"vassalage","aaaeglssv",144
"Galatea","aaaeglt",81
"Narragansett","aaaegnnrrstt",169
"Pangaea","aaaegnp",81
"extravagant","aaaegnrttvx",225
"passageways","aaaegpssswy",225
"passageway","aaaegpsswy",196
"euthanasia","aaaehinstu",144
"anathemas","aaaehmnst",144
"anathema","aaaehmnt",121
"aromatherapy","aaaehmoprrty",289
"savannahes","aaaehnnssv",169
"paraphrase","aaaehpprrs",196
"paraphrases","aaaehpprrss",225
"materialization","aaaeiiilmnorttz",400
"paramilitaries","aaaeiiilmprrst",324
"parliamentary","aaaeilmnprrty",324
"extramarital","aaaeilmrrttx",289
"planetaria","aaaeilnprt",169
"reappraisal","aaaeilpprrs",225
"reappraisals","aaaeilpprrss",256
"anaemia","aaaeimn",81
"aquamarine","aaaeimnqr",169
"aquamarines","aaaeimnqrs",196
"Amerasian","aaaeimnrs",121
"assassinates","aaaeinssssst",169
"assassinate","aaaeinsssst",144
"Kalevala","aaaekllv",196
"Wanamaker","aaaekmnrw",196
"takeaways","aaaekstwy",196
"parallaxes","aaaellprsx",256
